Posizione,Codice,Nome,Quantità (kg),Lotto,Scadenza,Data Esportazione
"A2.2","F-0-10","FARINA 0 da 10kg",1,"11224","28/09/2024","29/11/2025, 19:58:41"
"B4.2","F-0-25","FARINA 0 da 25kg",193,"51324","28/09/2024","29/11/2025, 19:58:41"
"A1.2","F-0-5","FARINA 0 da 5kg",120,"41024","31/08/2024","29/11/2025, 19:58:41"
"C5.1","F-0-P20-10","Sconosciuto",45,"31024","31/08/2024","29/11/2025, 19:58:41"
"C6.1","F-0-P20-25","Sconosciuto",29,"31024","31/08/2024","29/11/2025, 19:58:41"
"B7.2","F-0-SP35-25","FARINA 0 SP35 da 25Kg",32,"31324","28/09/2024","29/11/2025, 19:58:41"
"B10.1","F-0-SP35-5","FARINA 0 SP35 da 5 kg",2,"30124","31/05/2024","29/11/2025, 19:58:41"
"B8.1","F-0-SP50-25","FARINA 0 SP50 da 25kg",27,"31324","28/09/2024","29/11/2025, 19:58:41"
"A4.1","F-00-10","FARINA 00 da 10kg",56,"11124","31/08/2024","29/11/2025, 19:58:41"
"B5.2","F-00-30","FARINA 00 da 30kg",27,"31324","28/09/2024","29/11/2025, 19:58:41"
"A4.2","F-00-5","FARINA 00 da 5kg",199,"11124","31/08/2024","29/11/2025, 19:58:41"
"A7.2","F-00-PA-25","Sconosciuto",7,"11124","31/08/2024","29/11/2025, 19:58:41"
"A6.2","F-00-SF-25","FARINA 00 SFOGLIA da 25kg",9,"50924","30/09/2024","29/11/2025, 19:58:41"
"C2.1","F-CAN-20","Sconosciuto",1,"0","02/04/2024","29/11/2025, 19:58:41"
"C3.1","F-FARR-BIA-25","Sconosciuto",12,"0","02/04/2024","29/11/2025, 19:58:41"
"C3.1","F-FARR-BIA-5","Sconosciuto",4,"21224","09/01/2025","29/11/2025, 19:58:41"
"C4.1","F-FARR-INT-25","Sconosciuto",18,"0","02/04/2024","29/11/2025, 19:58:41"
"C2.1","F-RIS-25","Sconosciuto",1,"0","02/04/2024","29/11/2025, 19:58:41"
"B6.1","FM-INT-25","FARINA INTEGRALE da 25kg",8,"10824","31/08/2024","29/11/2025, 19:58:41"
"B9.1","FM-INT-5","FARINA INTEGRALE da 5kg",1,"21224","30/09/2024","29/11/2025, 19:58:41"
"A7.1","FM-INT-P-25","FARINA INTEGRALE P da 25kg",10,"20924","31/08/2024","29/11/2025, 19:58:41"
"A8.1","FM-INT-P-5","FARINA INTEGRALE P da 5 kg",2,"20924","31/08/2024","29/11/2025, 19:58:41"
"A5.2","FM-T2-5","FARINA TIPO2 da 5kg",27,"11224","28/09/2024","29/11/2025, 19:58:41"
"B8.2","FM-T2F-25","Sconosciuto",43,"11224","28/09/2024","29/11/2025, 19:58:41"
"C7.1","GD-SEM-25","SEMOLA da 25kg",5,"00","02/04/2024","29/11/2025, 19:58:41"
"C7.1","GD-SEM-EXT-5","Sconosciuto",4,"11224","30/09/2024","29/11/2025, 19:58:41"
"C8.1","GD-SEM-RIM-25","SEMOLA RIMACINATA da 25kg",24,"000","02/04/2024","29/11/2025, 19:58:41"
"C1.1","GD-SEM-RIM-5","SEMOLA RIMACINATA da 5kg",18,"11224","28/09/2024","29/11/2025, 19:58:41"
"E3.2","MG-CAN-MAN-20","Sconosciuto",24,"0","02/04/2024","29/11/2025, 19:58:41"
"E5.1","MG-CAV-MAN-20","Sconosciuto",19,"0","02/04/2024","29/11/2025, 19:58:41"
"E4.2","MG-CAV-SPO-20","Sconosciuto",19,"0","02/04/2024","29/11/2025, 19:58:41"
"E3.1","MG-CO-ING-25","Sconosciuto",23,"0","02/04/2024","29/11/2025, 19:58:41"
"E4.1","MG-FIO-ORM-20","Sconosciuto",20,"0","02/04/2024","29/11/2025, 19:58:41"
"E2.2","MG-GAT-CRO-20","Sconosciuto",3,"0","02/04/2024","29/11/2025, 19:58:41"
"D4.1","MG-PO-0/6-25","Sconosciuto",8,"00","02/04/2024","29/11/2025, 19:58:41"
"D1.1","MG-PO-ING-25","Sconosciuto",21,"00","02/04/2024","29/11/2025, 19:58:41"
"D3.2","MG-PO-OVA-25","Sconosciuto",46,"00","02/04/2024","29/11/2025, 19:58:41"
"D2.2","MG-PO-SPEBE-25","Sconosciuto",43,"00","02/04/2024","29/11/2025, 19:58:41"
"E9.1","Z-CRU-10","Sconosciuto",40,"31124","28/09/2024","29/11/2025, 19:58:41"
"E8.2","Z-MAI-BEL-25","Sconosciuto",36,"30924","30/09/2024","29/11/2025, 19:58:41"
"E7.1","Z-SPE-GRO-25","Sconosciuto",12,"41024","30/09/2024","29/11/2025, 19:58:41"
"E6.1","Z-SPE-MED-25","Sconosciuto",9,"11424","28/09/2024","29/11/2025, 19:58:41"
"E1.2","cocorite","Sconosciuto",1,"0","02/04/2024","29/11/2025, 19:58:41"
