Posizione,Nome,Codice,Lotto,Scadenza,Quantita,Annotazioni
A1.1,FARINA 0 da 5kg,F-0-5,41024,31/08/2024,60,
A1.2,FARINA 0 da 5kg,F-0-5,41024,31/08/2024,60,
A2.1,FARINA 0 da 10kg,F-0-10,11224,28/09/2024,26,
A2.2,FARINA 0 da 10kg,F-0-10,11224,28/09/2024,60,
A3.1,FARINA 00 da 5kg,F-00-5,30924,31/08/2024,58,
A3.2,FARINA 00 da 5kg,F-00-5,31324,28/08/2024,121,
A3.3,,,,,
A4.1,FARINA 00 da 10kg,F-00-10,11124,31/08/2024,56,
A4.2,FARINA 00 da 5kg,F-00-5,11124,31/08/2024,20,
A4.3,,,,,
A5.1,,,,,
A5.2,FARINA TIPO2 da 5kg,FM-T2-5,11224,28/09/2024,27,
A6.1,,,,,
A6.2,FARINA 00 SFOGLIA da 25kg,F-00-SF-25,50924,30/09/2024,9,manca cartello
A7.1,FARINA INTEGRALE P da 25kg,FM-INT-P-25,20924,31/08/2024,10,manca cartello
A7.2,Sconosciuto,F-00-PA-25,11124,31/08/2024,7,
A8.1,FARINA INTEGRALE P da 5 kg,FM-INT-P-5,20924,31/08/2024,2,
A8.2,Sconosciuto,FM-T2F-25,11224,28/09/2024,31,8 sacchi lotto differente
B1.1,FARINA 0 da 25kg,F-0-25,21124,31/08/2024,28,
B1.2,,,,,
B2.1,FARINA 0 da 25kg,F-0-25,51324,28/09/2024,25,
B2.2,FARINA 0 da 25kg,F-0-25,51324,28/09/2024,28,
B3.1,FARINA 0 da 25kg,F-0-25,51324,28/09/2024,28,
B3.2,FARINA 0 da 25kg,F-0-25,51324,28/09/2024,28,
B3.3,,,,,
B4.1,FARINA 0 da 25kg,F-0-25,51324,28/09/2024,28,
B4.2,FARINA 0 da 25kg,F-0-25,51324,28/09/2024,28,
B4.3,,,,,
B5.1,FARINA 00 da 30kg,F-00-30,11124,31/08/2024,6,
B5.2,FARINA 00 da 30kg,F-00-30,31324,28/09/2024,21,
B6.1,FARINA INTEGRALE da 25kg,FM-INT-25,10824,31/08/2024,8,
B6.2,,,,,
B7.1,FARINA 0 SP35 da 25Kg,F-0-SP35-25,31324,28/09/2024,18,
B7.2,FARINA 0 SP35 da 25Kg,F-0-SP35-25,31324,28/09/2024,14,solo sp
B8.1,FARINA 0 SP50 da 25kg,F-0-SP50-25,31324,28/09/2024,27,
B8.2,Sconosciuto,FM-T2F-25,11224,28/09/2024,12,
B9.1,FARINA INTEGRALE da 5kg,FM-INT-5,21224,30/09/2024,1,
B9.2,,,,,
B10.1,FARINA 0 SP35 da 5 kg,F-0-SP35-5,30124,31/05/2024,2,
B10.2,,,,,
C1.1,SEMOLA RIMACINATA da 5kg,GD-SEM-RIM-5,11224,28/09/2024,18,
C1.2,,,,,
C1.3,,,,,
C2.1,Sconosciuto,F-RIS-25,0,02/04/2024,1,
C2.1,Sconosciuto,F-CAN-20,0,02/04/2024,1,
C2.2,Sconosciuto,F-0-P20-25,31024,31/08/2024,24,
C2.3,,,,,
C3.1,Sconosciuto,F-FARR-BIA-25,0,02/04/2024,12,
C3.1,Sconosciuto,F-FARR-BIA-5,21224,09/01/2025,4,
C3.2,,,,,
C3.3,,,,,
C4.1,Sconosciuto,F-FARR-INT-25,0,02/04/2024,18,
C4.2,,,,,
C4.3,,,,,
C5.1,Sconosciuto,F-0-P20-10,31024,31/08/2024,45,
C5.2,,,,,
C6.1,Sconosciuto,F-0-P20-25,31024,31/08/2024,5,
C6.2,,,,,
C7.1,SEMOLA da 25kg,GD-SEM-25,00,02/04/2024,5,
C7.1,Sconosciuto,GD-SEM-EXT-5,11224,30/09/2024,4,
C7.2,,,,,
C8.1,SEMOLA RIMACINATA da 25kg,GD-SEM-RIM-25,000,02/04/2024,24,
C8.2,,,,,
D1.1,Sconosciuto,MG-PO-ING-25,00,02/04/2024,21,
D1.2,Sconosciuto,MG-PO-OVA-25,00,02/04/2024,21,
D2.1,Sconosciuto,MG-PO-SPEBE-25,00,02/04/2024,1,
D2.2,Sconosciuto,MG-PO-SPEBE-25,00,02/04/2024,21,
D2.2,Sconosciuto,MG-PO-SPEBE-25,00,02/04/2024,21,
D3.1,Sconosciuto,MG-PO-OVA-25,00,02/04/2024,4,
D3.2,Sconosciuto,MG-PO-OVA-25,00,02/04/2024,21,
D4.1,Sconosciuto,MG-PO-0/6-25,00,02/04/2024,8,
D4.2,,,,,
E1.1,,,,,
E1.2,Sconosciuto,cocorite,0,02/04/2024,1,
E2.1,Sconosciuto,MG-CAN-MAN-20,0,02/04/2024,3,
E2.2,Sconosciuto,MG-GAT-CRO-20,0,02/04/2024,3,
E3.1,Sconosciuto,MG-CO-ING-25,0,02/04/2024,23,
E3.2,Sconosciuto,MG-CAN-MAN-20,0,02/04/2024,21,
E4.1,Sconosciuto,MG-FIO-ORM-20,0,02/04/2024,20,
E4.2,Sconosciuto,MG-CAV-SPO-20,0,02/04/2024,19,
E5.1,Sconosciuto,MG-CAV-MAN-20,0,02/04/2024,19,
E5.2,Sconosciuto,Z-CRU-10,31124,28/09/2024,19,
E6.1,Sconosciuto,Z-SPE-MED-25,11424,28/09/2024,9,
E6.2,,,,,
E7.1,Sconosciuto,Z-SPE-GRO-25,41024,30/09/2024,12,
E7.2,,,,,
E8.1,Sconosciuto,Z-MAI-BEL-25,30924,30/09/2024,8,
E8.2,Sconosciuto,Z-MAI-BEL-25,30924,30/09/2024,28,
E9.1,Sconosciuto,Z-CRU-10,31124,28/09/2024,21,
E9.2,,,,,
